id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,7.80928047596e-17,7.69234610905e-13,1.57928325016e-22,6.42109927512e-15,1.76888087367e-16,2.67560740274e-13,1.54051480644e-18,9.68305830686e-17,6.33929516241e-16,6.46174118648e-15,8.26611348814e-11,1.57718462772e-19,6.39421148476e-15,3.39377233361e-18,2.87079498154e-15,3.14196416221e-16,2.29839222334e-14,9.5803200346e-19,2.91645831597e-16,3.00872887159e-22,3.46241590087e-12,3.18134055341e-13,8.06338096336e-14,1.43853987712e-16,1.71299760304e-19,5.38721890651e-15,8.03069823974e-08,7.78159600558e-13,2.16323710518e-14,8.61248396276e-14,5.95922400592e-21,1.21041843215e-08,7.43795563335e-12,4.82178099531e-12,2.77510057035e-13,2.76667853869e-15,2.29654533238e-12,8.54125607417e-18,4.55274855901e-14,1.32407702278e-17,5.29563572706e-21,1.08813870729e-13,1.52091510179e-15,2.34818026379e-18,1.33390335605e-15,5.04263277456e-15,2.55523991655e-06,2.50363046807e-20,9.40073375521e-16,9.67652768284e-16,1.70703651003e-14,0.99996638298,3.06413999263e-15,3.59091621997e-14,3.31960132126e-12,1.98177845662e-12,4.89000084869e-09,7.47692177426e-25,3.63378689472e-17,4.15826834771e-12,1.77283775632e-14,5.09302911734e-16,6.47562515763e-14,1.49617083418e-15,2.36158994085e-05,3.80995250268e-15,2.98547232942e-12,1.51676360762e-19,1.97623035693e-15,2.67516959893e-16,5.02387152417e-16,2.83581955119e-14,3.6796517981e-13,2.31904568048e-17,4.5545885996e-07,2.75997225074e-09,3.06927809863e-21,8.93785371235e-14,2.17665885316e-07,1.34395855556e-10,4.73567240977e-10,1.8552363591e-15,3.99880146289e-15,6.62326419842e-06,1.04553121716e-09,8.80041589598e-20,1.88198957628e-21,1.80103452449e-21,1.24701795556e-08,6.15326399766e-23,4.78412439056e-18,9.86929613554e-13,8.3344086366e-15,7.35867191292e-14,1.22265731778e-17,5.97705945457e-18,1.15053226379e-16,1.87118414296e-13,2.43907483738e-20
7,1.15215034236e-13,5.47308400857e-13,4.60178117834e-09,7.88982601474e-10,1.06308299413e-15,4.25098255208e-11,3.51204789695e-08,3.46548609037e-13,1.357394557e-12,3.3220096443e-15,2.77685788949e-17,1.34456538327e-15,2.60139606796e-14,2.26745011656e-11,1.471106494e-13,8.5937896068e-15,1.67057231763e-13,3.67692647163e-11,2.90777262837e-15,6.35939727545e-07,2.84585072521e-13,1.97634253586e-16,1.80391704178e-12,9.57362105715e-14,1.70823184293e-14,8.42216717916e-16,1.03968021692e-10,1.04075851669e-12,1.79132091105e-11,3.44271941684e-12,1.57776944287e-10,4.30000896001e-11,3.13781401036e-12,1.77132790315e-13,3.235990087e-10,2.20758755972e-17,1.37323474814e-09,5.15063963702e-11,6.64813371021e-10,2.46973392848e-08,4.85277041662e-07,1.7448543721e-09,5.25413379471e-10,1.143870762e-10,8.6325038914e-13,1.00888648547e-07,3.32508871494e-16,2.77999197351e-06,4.03634431434e-10,1.24450384893e-12,0.999962568283,6.00270836726e-14,2.98138076726e-12,5.33081596643e-08,8.76350589318e-11,5.83972230572e-08,5.79443936409e-13,3.06107500458e-10,6.36364072548e-10,1.84588948571e-08,2.75286266005e-10,3.26424027782e-13,3.2406709216e-18,1.48440182368e-09,1.24093836877e-13,8.1712429859e-15,2.980513785e-14,5.29220634329e-12,6.75226319302e-09,2.56173407251e-05,1.39233073584e-15,6.51795215023e-11,2.03403069941e-14,9.68636114243e-14,1.06271455598e-14,7.723398879e-16,9.70244045106e-08,1.52946509624e-11,1.47249953116e-12,1.81593737443e-12,2.32326744648e-11,5.65659352691e-10,7.30390820536e-06,1.4031863671e-08,8.78711929886e-08,3.63321761565e-10,3.26866000933e-08,2.76213143025e-07,1.54162166922e-16,1.34819358368e-12,4.6131856668e-10,4.39896693223e-15,4.01907985516e-15,3.19530109898e-18,4.10253786498e-09,5.97527669705e-12,1.47915481946e-11,5.41706165601e-14,2.23379223918e-14
9,4.63466591494e-11,0.999554097652,9.44869096159e-12,9.82692607843e-11,0.000445471872808,2.85785339837e-10,4.53043722329e-12,1.69272391243e-11,1.20423040428e-08,4.59194149371e-09,5.91741716391e-13,2.63025103919e-08,1.21053205437e-14,5.71147751828e-15,3.26098441869e-13,2.50905338308e-14,9.51796419457e-09,9.91079105567e-17,9.5045739065e-17,9.09157679696e-11,2.7049688444e-12,4.62271415591e-10,5.14055229789e-17,1.28956598817e-14,1.60353730957e-19,2.1635180314e-09,2.19532864776e-07,2.17273835779e-18,2.49514791424e-13,7.74341934974e-14,6.64638699979e-12,1.27433369304e-13,1.73472936016e-09,1.87127518206e-14,3.34453683281e-13,3.01732772101e-09,1.28324989523e-11,3.10157080208e-15,4.64197877897e-16,8.09709244098e-12,3.41649180734e-13,4.56425838151e-14,2.55478858826e-15,2.31288570782e-18,3.13529541888e-15,1.66942096269e-14,4.68198850729e-14,3.33004735169e-14,1.14767830656e-12,3.36335872229e-16,2.01745116237e-17,3.79036417756e-16,5.22856582384e-15,1.94008170125e-14,9.1181453528e-15,9.36996614367e-18,1.77271717271e-12,2.42169170143e-19,6.32582806234e-19,1.82923961351e-13,1.12510673521e-12,4.07050449594e-15,5.73213961648e-14,2.2596711286e-13,2.25012323769e-13,2.78911903339e-13,2.16860904234e-12,2.81398704933e-17,2.73920155221e-14,1.11401654638e-14,6.95886535262e-18,7.71726297233e-14,1.2544476058e-17,7.36405467855e-12,5.44660438645e-15,6.78445269257e-14,1.87321793683e-14,5.98205570819e-17,6.26564704525e-14,3.53136590743e-15,1.23960672456e-12,1.29663031072e-13,1.88111893311e-15,5.35278235853e-15,1.52789846493e-15,1.33254907109e-09,1.03948913127e-18,2.33830327232e-17,7.89502535651e-19,5.54052257907e-17,1.20963067897e-16,2.4106901786e-16,2.01301877945e-10,2.52777120185e-15,5.63290733502e-13,1.33127295876e-14,1.83276039278e-16,7.93824471634e-18,1.02791958057e-07
12,1.9553346301e-13,1.49713002884e-07,9.49044315357e-12,1.45872409204e-13,1.03498129968e-15,1.93095326953e-15,2.65138755395e-09,1.70186798681e-11,2.42104181147e-09,2.30965073456e-12,3.31357593246e-19,2.1443404421e-06,1.04496966635e-09,1.48761291712e-05,1.50378584585e-10,1.61724399064e-12,3.41964439621e-13,3.94036838713e-08,9.88836519664e-18,0.993207752705,8.08826801108e-13,4.50651265082e-18,6.08393587245e-12,1.06263724304e-16,4.05518310988e-14,5.26939620003e-16,1.45016598729e-09,5.62458199641e-17,5.90651727289e-14,3.3150416006e-12,8.85326478794e-10,1.20429630369e-15,2.35762120547e-13,3.3475321446e-14,1.08149146377e-13,1.08643411257e-18,6.03131585473e-13,3.59848678633e-11,2.2158536399e-13,8.12941294143e-12,7.49546147372e-10,1.33124542501e-08,3.21099750623e-15,1.97291293545e-12,2.64864119406e-14,1.31453848458e-13,3.77581583248e-19,0.0067640771158,1.88381352473e-06,1.31407227764e-13,1.5455187477e-11,1.71335661073e-21,1.53298679089e-13,2.22490185997e-11,8.82388400628e-13,3.55403694755e-13,8.42694953628e-19,1.61196800352e-09,3.2130730368e-12,2.33599272738e-13,1.97216808856e-12,6.23898547175e-19,4.23361466598e-14,1.00987185281e-09,1.13730195657e-17,1.4144264373e-13,8.19587491576e-16,2.60503929539e-09,6.12665196353e-11,6.51735696661e-12,4.88763972126e-15,6.83878691524e-12,1.59418466272e-17,1.48991824873e-15,1.65036346121e-18,8.42053918184e-15,4.43811274623e-13,2.5579649076e-12,3.60225457124e-16,1.22505101224e-13,2.51501445538e-12,6.75392494752e-14,9.76864977797e-11,2.50086096512e-15,4.2190101239e-13,6.72201963425e-07,1.45480927305e-09,1.30243693608e-09,7.68819869943e-21,8.38135810755e-12,7.83763755085e-17,5.75145069713e-15,1.8255904177e-15,1.98906748006e-14,9.8881036692e-10,4.91446735396e-06,1.01044789669e-13,6.62217769702e-15,3.47149170921e-06
13,4.2653424026e-15,7.27622823105e-11,2.75142957163e-18,5.68069346239e-18,3.68209389574e-14,7.94374877613e-18,6.02323442858e-12,1.93654654571e-16,2.27516102314e-06,1.70728049753e-11,1.77575044513e-12,6.28054340268e-06,8.23932866378e-10,7.06610281398e-09,0.999991416931,4.70424268861e-15,7.68130448137e-10,1.02507878488e-12,9.8306609977e-15,3.18121513959e-16,5.15851597549e-11,1.06492282579e-17,1.55644641869e-14,2.76431981663e-16,1.19267979607e-17,2.10201647755e-13,1.91985552456e-10,4.95991894847e-16,1.46771677402e-15,1.28340949447e-19,6.26581187787e-16,5.57186637154e-16,9.17587921933e-23,1.70034121751e-16,2.74786620163e-16,7.88913476647e-14,1.3184325322e-13,6.66993403393e-20,4.06650235088e-19,9.12476582187e-18,9.321748545e-19,9.42805742873e-14,1.92009493559e-20,6.10534413299e-16,1.06571184029e-16,7.45648860645e-17,7.78346367935e-14,1.13513495478e-12,3.29075966476e-09,5.06984974835e-11,7.51407807875e-18,2.15035824186e-17,1.6538000136e-11,4.05724461867e-15,2.51623875563e-18,3.09434716419e-22,6.76466624735e-20,6.89464842653e-18,1.07432739373e-18,5.26878887741e-13,4.58180608779e-16,8.81878861136e-19,4.66587387487e-14,6.09976956098e-12,7.01017205729e-18,3.49500707845e-20,2.57360542518e-15,1.31398262344e-15,4.13647133585e-18,3.30132017635e-17,8.18885513021e-16,3.23257774715e-11,6.07434788872e-18,5.54165958846e-16,1.64912139989e-16,7.60985919461e-15,7.27977261742e-21,2.92544959611e-13,7.61105696696e-13,1.73348314869e-13,4.41717981636e-11,3.8985646791e-18,2.00450374073e-13,5.33830012801e-14,3.97092318206e-19,2.13553315678e-21,5.09579405125e-18,2.96711200336e-21,6.15291125441e-20,1.54175663122e-13,4.54617293358e-21,1.57317603389e-09,2.62005237096e-16,3.69602126682e-09,7.40556834605e-12,1.22572902939e-08,2.59205075345e-14,2.42452063844e-16,1.31991431907e-17
16,1.24781751598e-09,7.00770995052e-12,7.19815665406e-11,0.999987959862,1.51961988254e-15,8.61641949489e-17,1.00668414577e-11,9.00094505596e-08,5.12493866789e-11,1.84385093265e-18,1.24968480009e-09,3.56721488286e-15,9.44547196013e-09,3.77526660937e-16,1.83420241343e-13,1.21230133679e-13,1.46006690184e-15,4.33380753506e-09,1.63453955232e-11,2.29922894959e-12,1.76212600826e-13,8.43800418426e-10,1.35727754787e-14,1.46045742638e-14,8.8841599008e-12,1.17850989384e-11,7.12743686293e-09,8.21237633453e-10,3.29251556574e-11,2.91009762793e-16,6.06124438834e-12,5.13098070976e-12,3.72479047606e-09,1.13755118609e-17,4.6443979218e-10,1.21149640138e-14,2.95184090504e-08,2.05148986957e-15,6.19591101329e-16,1.07272619607e-11,4.8789168235e-13,2.64690669383e-08,1.37321667926e-10,3.93700760881e-09,4.26473439896e-11,4.07143154746e-08,3.58530649017e-14,3.86749526244e-15,3.76967473079e-13,7.25460137926e-14,2.49650766726e-09,7.78788773243e-15,3.00561055155e-07,2.59546789443e-12,1.67230008426e-18,1.23475499438e-14,7.71543385762e-17,6.90864466329e-14,2.62990731414e-08,2.20146071511e-11,5.0699673626e-11,1.76813807871e-14,2.5307360374e-11,6.9960109754e-12,9.85583359717e-13,3.14466399969e-12,1.48762946406e-11,2.91146799595e-13,2.24270890747e-09,3.90386528659e-10,3.28890254099e-17,2.04307426012e-12,1.36040046735e-18,2.16760341232e-07,3.2106046124e-19,3.29184650458e-13,9.07828201502e-10,5.0133182348e-15,1.45717041436e-19,9.4306198406e-09,3.00733728556e-14,5.48898412944e-07,7.03081419039e-13,1.23115406758e-11,1.03395996654e-17,3.13526626883e-09,1.06813115508e-06,3.86647103223e-11,2.17822091089e-19,4.97055651846e-12,5.39355643481e-11,4.31958635527e-10,1.11443760886e-08,3.71898692397e-11,9.60278066486e-06,2.05608303278e-13,1.68309477466e-09,4.28037856895e-12,6.24923398619e-13
19,2.53046406051e-09,2.6942018061e-11,6.09742673019e-11,0.999999642372,7.1313429659e-16,7.48864740343e-17,2.29497605476e-15,5.79255740596e-12,1.06770793378e-13,7.60814009492e-18,1.32458692903e-08,3.42166527746e-18,6.94193369455e-10,3.32312540951e-20,8.44196776544e-17,3.42180092515e-15,5.91285748391e-16,2.54615850837e-14,6.25992476171e-13,2.44698246989e-14,6.97461532972e-12,1.85929271979e-09,1.30453820608e-16,1.3093571366e-12,1.57727197731e-13,4.16119610991e-10,1.03073077851e-10,1.20990912601e-12,4.39613363074e-12,3.37370194749e-15,8.98068945598e-13,1.75504499822e-10,5.37598268124e-08,3.600087722e-18,1.16343074064e-10,1.25243498603e-15,3.6537228798e-09,9.3708366262e-14,3.05162186211e-14,5.12900111271e-10,4.06632904703e-14,2.60363375304e-09,2.43783454795e-13,2.20178042465e-11,2.40942357212e-13,1.47335779133e-08,7.07563754766e-14,4.26979878852e-18,2.45792698261e-15,1.2074584365e-16,1.24148344383e-10,9.05478654296e-13,5.06361230723e-10,1.1201783045e-13,1.12491269351e-16,8.73328034781e-14,1.53961081301e-15,2.58330384655e-16,8.98933566473e-11,7.49441047415e-12,1.06908770725e-09,1.68200123366e-16,1.77075164969e-13,3.51081265297e-15,1.04481992502e-10,2.9457152273e-09,3.36454022737e-14,6.73371128974e-16,4.85117324089e-09,1.18684367889e-10,4.14767880597e-17,1.44893148908e-15,1.37455894567e-17,1.73885714855e-11,9.95070814505e-18,1.08911970696e-13,1.69241370918e-10,3.81341942177e-17,4.58923390448e-20,3.45240245281e-08,5.002769485e-17,2.21937734857e-09,7.21048315998e-15,1.70109098249e-13,2.82907818537e-15,4.14161638318e-09,3.50041745589e-10,1.47145504115e-10,2.89013597304e-19,2.0495740928e-15,1.24777910226e-10,5.00872329723e-11,8.99301022539e-10,3.19378421279e-12,3.57450460342e-07,9.68902873109e-18,3.30781201041e-11,1.29649356572e-13,6.0186209315e-12
23,6.24485882385e-14,2.76668618571e-11,1.59274918587e-07,1.44802958513e-09,2.68658133934e-11,1.6146361304e-05,1.45705945087e-08,4.3034725089e-12,1.31301880582e-15,2.2980851163e-12,3.21910922398e-12,6.21368259038e-14,1.12958585899e-14,1.5699694691e-13,7.81676745312e-17,3.14008320856e-06,6.45265358174e-16,1.7618752594e-12,6.63505943521e-08,1.00080826872e-12,5.82423085455e-12,3.77174298738e-11,1.04160480241e-09,1.42587364138e-09,2.60160315513e-09,4.24144719346e-10,8.27504687359e-15,9.35618336279e-12,0.999662041664,0.000286188558675,8.5790961748e-06,6.6646043068e-14,2.0501509379e-09,1.71079615047e-14,2.85923063004e-10,3.92325532061e-08,5.23816276812e-12,7.23606152775e-09,1.09249653768e-09,8.5680946782e-09,7.01449454077e-11,2.19548028253e-16,1.8548668379e-07,1.2333131183e-09,1.05386326835e-12,3.36848909497e-14,9.2240802695e-17,4.81665751324e-15,5.61038303488e-14,2.10477790752e-09,5.98724056444e-11,1.95839438416e-14,7.29923690934e-11,9.09263220272e-10,6.70287547688e-10,1.63206743764e-06,1.82773529644e-09,1.66344663738e-11,7.99543198034e-15,1.06548193879e-10,6.38312336321e-09,1.79574993764e-10,2.73501533921e-12,3.38989253335e-11,4.63292113007e-11,4.92295494734e-13,1.10019182653e-09,9.70686730994e-09,8.38525693325e-09,2.01134153031e-05,4.38654410573e-08,3.30497904599e-08,4.34747854036e-12,2.67974176182e-09,3.73110813485e-15,1.56860981181e-14,1.61789532882e-08,6.23149518097e-11,2.36947535533e-15,3.72301356411e-10,2.21577778348e-09,1.43022288457e-10,3.96546927239e-11,3.11911276972e-14,4.64705619092e-14,1.80605975054e-12,1.48569404246e-06,9.25708150135e-08,1.68872630723e-12,7.82458153825e-10,1.07507069913e-09,5.72512653604e-12,3.84828791056e-09,1.14370526938e-11,1.07918316346e-14,8.34809308913e-16,5.17846182602e-11,4.03999004931e-14,1.24696841741e-09
24,9.16133280349e-11,1.90699168154e-13,2.39179179934e-11,4.13842103761e-14,1.27715087803e-15,1.83627505562e-12,1.24868819534e-17,5.34026744673e-17,1.78663056571e-10,9.27349140709e-16,2.62902828847e-12,2.12654338373e-20,5.25115501051e-19,6.94575884125e-17,3.70437250147e-19,6.09891647641e-17,4.35687175226e-09,7.10279726074e-18,1.09459081983e-15,4.05831272721e-15,5.10462288758e-12,1.40971981403e-14,6.77013605993e-21,1.70778981349e-17,1.26484660025e-21,2.98228802918e-18,3.05820755005e-12,3.05436560299e-16,5.03164940421e-16,1.29054183789e-13,2.71079257538e-15,9.14897100301e-07,5.32181365642e-09,1.48045475618e-13,2.02357170598e-14,2.63723823933e-17,3.84405066101e-14,1.83309334378e-09,8.85739398493e-11,1.82986112374e-10,1.00560962335e-10,6.96622799593e-14,2.66905057998e-15,5.23186840531e-16,6.60571180004e-15,2.31427335629e-10,4.31910993651e-16,2.13347058864e-16,3.25482832458e-17,3.58927887412e-11,5.48854191262e-11,7.28773152936e-10,1.08272336096e-20,6.48728703842e-17,6.79579613069e-12,7.25612842381e-12,4.18512961916e-13,1.19432916112e-15,7.53263011861e-15,1.5047177393e-10,2.47907059464e-11,1.78945487382e-17,2.00041655606e-21,9.01987915477e-16,5.33170382844e-11,4.40512697934e-13,9.65562655757e-19,2.4611799597e-16,1.05601327682e-09,5.62050495034e-09,2.40918628153e-18,1.60969802483e-15,4.13711301545e-13,6.23884821147e-20,6.49601067382e-11,1.225819305e-13,9.36747641261e-13,5.76956619077e-15,3.56014978782e-12,8.5084062505e-16,7.74748611373e-18,1.39400169362e-16,9.2196181245e-11,2.6988483063e-12,0.999999046326,3.47754289286e-14,8.05380681099e-18,3.91923974286e-14,9.92319680609e-15,4.27581960723e-14,1.9879176083e-10,9.34849667087e-18,1.89939462186e-16,5.27786467249e-19,1.64354163959e-12,4.15751959769e-14,4.10181966724e-20,5.55116213345e-15,3.22751614424e-17
28,5.44066551811e-07,8.81291200017e-08,1.64990434509e-11,2.07898651183e-07,2.19841714277e-10,2.3894104875e-14,2.20383844507e-09,1.68711289916e-06,0.999977231026,3.27092758261e-12,1.38770644753e-07,2.762779161e-08,6.0619896658e-08,1.18669019056e-10,2.77313230157e-08,3.09070304072e-12,5.42165112805e-09,6.33512300396e-08,8.18161253265e-14,1.00531293359e-11,5.39262989818e-09,9.64386773564e-13,1.46109163304e-17,7.0482098585e-16,3.1958003852e-17,4.73277050417e-14,1.76957781761e-09,8.29576953464e-15,2.56203597156e-14,1.9350265848e-17,3.40305474772e-13,7.29308627379e-12,4.45300948893e-11,6.58555946321e-13,1.05267454909e-12,3.36563998893e-10,1.45695163833e-12,1.41811854804e-15,6.31044974077e-19,1.27980850743e-14,3.63589612587e-15,3.61296770279e-10,6.03031257809e-15,3.66127873868e-17,9.2395241577e-14,1.37628086705e-09,8.07815525084e-14,8.74590818604e-13,3.54513293721e-11,1.39011047118e-09,2.65234709026e-15,1.50384685851e-14,1.19589491088e-10,5.37858433735e-14,1.30198239004e-14,2.67818027167e-16,2.0907625257e-17,6.26873572972e-16,3.98082093548e-13,1.71888586697e-10,3.6962924041e-13,4.09414306792e-15,3.13434743654e-13,1.23580084967e-12,1.73955056089e-12,3.78061687858e-12,2.77671748848e-14,1.91093769569e-16,1.8313286651e-11,1.6728909924e-11,8.42794764963e-16,2.82194319995e-12,1.65817370055e-18,1.33159538951e-10,2.88299691466e-15,1.08696873117e-12,1.12947066251e-13,8.20681024346e-17,7.13248226756e-14,6.29033491961e-11,2.25298529832e-11,7.10139447246e-11,7.65996363561e-11,7.15030638865e-12,2.18275939858e-12,2.64656352389e-13,2.1486739471e-11,1.89498925644e-16,7.40359670836e-20,3.90213333867e-10,6.72141921114e-13,1.44149669978e-09,1.04106172572e-08,1.74486174842e-07,1.97995941562e-05,8.82114326028e-10,4.26185008576e-15,3.77616022913e-17,1.24301578145e-12
